Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-10-17,193.960007,87.669998,806.840027,11.88,812.950012,95.410004
2016-10-18,199.100006,87.660004,821.48999,11.89,817.650024,97.150002
2016-10-19,203.559998,88.019997,826.840027,12.01,817.690002,97.449997
2016-10-20,199.100006,87.120003,821.630005,11.97,810.320007,96.470001
2016-10-21,200.089996,87.860001,824.059998,12.02,818.98999,98.5
2016-10-24,202.759995,88.32,835.73999,12.19,838.090027,97.059998
2016-10-25,202.339996,88.32,828.549988,11.85,835.179993,91.940002
2016-10-26,202.240005,88.610001,822.099976,11.88,822.590027,91.57
2016-10-27,204.009995,87.089996,817.349976,11.74,818.359985,93.029999
2016-10-28,199.970001,88.239998,819.559998,11.72,776.320007,94.220001
2016-10-31,197.729996,87.790001,809.900024,11.74,789.820007,93.730003
2016-11-01,190.789993,86.809998,805.47998,11.61,785.409973,93.940002
2016-11-02,188.020004,87.050003,788.419983,11.4,765.559998,94.760002
2016-11-03,187.419998,86.660004,782.190002,11.35,767.030029,94.050003
2016-11-04,190.559998,86.529999,781.099976,11.34,755.049988,94.449997
2016-11-07,193.210007,87.699997,802.030029,11.58,784.929993,96.970001
2016-11-08,194.940002,88.550003,811.97998,11.48,787.75,95.93
2016-11-09,190.059998,85.93,805.590027,11.58,771.880005,98.260002
2016-11-10,185.350006,83.239998,780.289978,11.94,742.380005,98.720001
2016-11-11,188.559998,82.379997,771.75,12.28,739.01001,98.610001
2016-11-14,181.449997,82.440002,753.219971,12.06,719.070007,100.790001
2016-11-15,183.770004,83.260002,775.159973,12.04,743.23999,100.949997
2016-11-16,183.929993,82.860001,779.97998,12.0,746.48999,100.199997
2016-11-17,188.660004,83.040001,786.159973,11.87,756.400024,102.540001
2016-11-18,185.020004,83.480003,775.969971,11.76,760.159973,101.669998
2016-11-21,184.520004,85.25,784.799988,11.79,780.0,101.650002
2016-11-22,191.169998,87.5,785.0,11.89,785.330017,107.82
2016-11-23,193.139999,87.260002,779.0,11.9,780.119995,107.629997
2016-11-25,196.649994,88.019997,780.22998,12.04,780.369995,107.650002
2016-11-28,196.119995,88.830002,785.789978,11.92,766.77002,104.949997
2016-11-29,189.570007,89.449997,789.440002,11.92,762.52002,104.949997
2016-11-30,189.399994,86.739998,775.880005,11.96,750.570007,104.019997
2016-12-01,181.880005,85.199997,764.330017,12.43,743.650024,105.5
2016-12-02,181.470001,85.129997,764.460022,12.24,740.340027,107.150002
2016-12-05,186.800003,85.949997,778.219971,12.44,759.359985,108.239998
2016-12-06,185.850006,87.349998,776.179993,12.56,764.719971,109.669998
2016-12-07,193.149994,88.550003,791.469971,13.06,770.419983,111.93
2016-12-08,192.289993,87.730003,795.169983,13.03,767.330017,111.940002
2016-12-09,192.179993,89.839996,809.450012,13.17,768.659973,112.519997
2016-12-12,192.429993,90.330002,807.900024,12.82,760.119995,111.389999
2016-12-13,198.149994,90.050003,815.340027,12.77,774.340027,111.339996
2016-12-14,198.690002,89.75,817.890015,12.53,768.820007,111.489998
2016-12-15,197.580002,90.519997,815.650024,12.58,761.0,111.559998
2016-12-16,202.490005,90.650002,809.840027,12.63,757.77002,111.0
2016-12-19,202.729996,90.349998,812.5,12.66,766.0,110.639999
2016-12-20,208.789993,90.470001,815.200012,12.78,771.219971,111.75
