,0
432,"426Jordan Crawford, SGNew Orleans Pelicans$173,099"
433,"428Chasson Randle, PGPhiladelphia 76ers$143,860"
434,"430Briante Weber, PGCharlotte Hornets$128,623"
435,"432Hollis Thompson, SFPhiladelphia 76ers$115,344"
436,"434Shawn Long, PFPhiladelphia 76ers$89,513"
437,"436Troy Williams, SFMemphis Grizzlies$76,725"
438,"438David Nwaba, PGLos Angeles Lakers$73,528"
439,"440Justin Harper, PFPhiladelphia 76ers$57,672"
440,"441Anthony Brown, SFOrlando Magic$57,672"
441,"443Jarell Eddie, SGPhoenix Suns$57,672"
442,"445Alex Poythress, SFPhiladelphia 76ers$35,166"
443,"447Patricio Garino, SGOrlando Magic$31,969"
444,"449Pierre Jackson, PGDallas Mavericks$31,969"
445,"451Quinn Cook, PGDallas Mavericks$15,984"
446,"453Dahntay Jones, SGCleveland Cavaliers$5,767"
447,"442Alonzo Gee, SFDenver Nuggets$57,672"
448,"444Jarrod Uthoff, SFDallas Mavericks$47,953"
449,"446Gary Payton II, PGMilwaukee Bucks$35,116"
450,"448Marcus Georges-Hunt, SGOrlando Magic$31,969"
451,"450Elijah Millsap, SGPhoenix Suns$23,069"
452,"452Axel Toupane, SGMilwaukee Bucks$15,435"
